BaseJobID,Sampler,Dataset,NominalW_ArrayRange,NominalW_Throttle,NominalW_Source,NTasks,Completed,Failed,Timeout,RealizedPeakConcurrency,NodesUsed,SpeedClassesUsed,AllTasksFastFailed_NoRecordsProduced
6921028,random,,1-200,40,archive_sbatch_directive,200,185,15,0,40,gpu06;gpu07;gpu08;gpu09;gpu10;gpu11;gpu12,SLOW,False
6921076,tpe,,1-200,40,archive_sbatch_directive,200,194,6,0,40,gpu10;gpu11;gpu12;gpu13;gpu19;gpu21;gpu25;gpu29;gpu34;gpu36;gpu37;gpu38;gpu39;gpu40;gpu41;gpu46;gpu64;gpu66;gpu71;gpu72,FAST;SLOW,False
6921123,hyperband,,1-200,40,archive_sbatch_directive,200,165,35,0,40,gpu11;gpu12;gpu25;gpu36;gpu40;gpu41;gpu42;gpu43;gpu45;gpu46;gpu63;gpu64;gpu66;gpu71;gpu72,FAST;SLOW,False
6923377,tpe,cifar10,1-40,40,submitline,40,32,8,0,40,gpu12;gpu13;gpu20;gpu23;gpu25;gpu27;gpu29;gpu31;gpu34;gpu35;gpu36;gpu37,FAST;SLOW,False
6923378,tpe,cifar10,1-20,20,submitline,20,20,0,0,20,gpu37;gpu38;gpu39;gpu40;gpu41;gpu42,FAST,False
6923379,tpe,cifar10,1-10,10,submitline,10,8,2,0,10,gpu42;gpu43;gpu45,FAST,False
6923380,tpe,cifar10,1-5,5,submitline,5,5,0,0,5,gpu46;gpu63,FAST,False
6923381,tpe,cifar10,1-1,1,submitline,1,1,0,0,1,gpu63,FAST,False
6923453,random,cifar100,1-40,40,submitline,40,38,0,2,40,gpu06;gpu07;gpu08;gpu09;gpu10;gpu12,SLOW,False
6923454,tpe,cifar100,1-40,40,submitline,40,0,27,13,30,gpu10;gpu11;gpu29;gpu35;gpu36;gpu37;gpu63;gpu64;gpu66;gpu71;gpu72;gpu73;gpu74,FAST;SLOW,False
6923455,hyperband,cifar100,1-40,40,submitline,40,0,40,0,40,gpu66;gpu74;gpu75;gpu76;gpu78;gpu80;gpu81;gpu82;gpu83;gpu84;gpu86;gpu87,FAST,False
6923456,cmaes,cifar10,1-40,40,submitline,40,0,40,0,28,gpu03;gpu06;gpu37;gpu42;gpu64;gpu66;gpu71;gpu72;gpu73;gpu74;gpu75;gpu83;gpu87;gpu88,FAST;SLOW;UNKNOWN,False
6923605,random,cifar100,1-40,40,submitline,40,0,22,18,40,gpu64;gpu71;gpu72;gpu73;gpu74;gpu78;gpu80;gpu81;gpu82;gpu83;gpu84;gpu86;gpu87,FAST,False
6923606,tpe,cifar100,1-40,40,submitline,40,0,40,0,13,gpu42;gpu72;gpu74;gpu75;gpu83;gpu87;gpu88,FAST,False
6923607,hyperband,cifar100,1-40,40,submitline,40,0,40,0,40,gpu13;gpu25;gpu29;gpu34;gpu36;gpu37;gpu38;gpu39;gpu40;gpu41;gpu42;gpu43;gpu45;gpu46;gpu63;gpu72;gpu74;gpu75;gpu83;gpu87;gpu88,FAST,False
6923608,cmaes,cifar10,1-40,40,submitline,40,0,40,0,24,gpu20;gpu23;gpu25;gpu27;gpu31;gpu36;gpu37;gpu39;gpu41;gpu46;gpu80;gpu81;gpu82;gpu86;gpu87,FAST,False
6924345,cmaes,cifar10,1-40,40,submitline,40,0,40,0,24,gpu06;gpu07;gpu08;gpu09;gpu12,SLOW,False
6924346,tpe,cifar100,1-40,40,submitline,40,0,40,0,24,gpu10;gpu11;gpu37;gpu39;gpu40;gpu41;gpu42;gpu45;gpu46,FAST;SLOW,False
6924347,hyperband,cifar100,1-40,40,submitline,40,0,40,0,40,gpu46;gpu63;gpu64;gpu66;gpu71;gpu72;gpu73;gpu74;gpu75;gpu76;gpu78,FAST,False
6924476,tpe,cifar100,1-40,40,submitline,40,40,0,0,40,gpu06;gpu07;gpu08;gpu09;gpu12,SLOW,False
6924477,hyperband,cifar100,1-40,40,submitline,40,38,2,0,24,gpu10;gpu11;gpu31;gpu35;gpu36;gpu37;gpu39;gpu40;gpu41;gpu42;gpu45,FAST;SLOW,False
6924478,cmaes,cifar10,1-40,40,submitline,40,0,40,0,40,gpu39;gpu45;gpu46;gpu63;gpu64;gpu66;gpu71;gpu72;gpu73;gpu74;gpu75,FAST,False
6924879,cmaes,cifar10,1-40,40,submitline,40,0,40,0,30,gpu05;gpu06;gpu08;gpu10;gpu11;gpu12,SLOW;UNKNOWN,False
6924880,tpe,cifar100,1-40,40,submitline,40,0,40,0,34,gpu08;gpu31;gpu35;gpu36;gpu37;gpu39;gpu40;gpu41;gpu42;gpu45;gpu46;gpu63,FAST;SLOW,False
6924881,hyperband,cifar100,1-40,40,submitline,40,0,40,0,40,gpu63;gpu64;gpu66;gpu71;gpu72;gpu73;gpu74;gpu75;gpu76;gpu78;gpu80,FAST,False
6924882,random,cifar100,1-40,40,submitline,40,29,11,0,36,gpu06;gpu08;gpu10;gpu11;gpu12;gpu80;gpu81;gpu82;gpu83;gpu84;gpu86;gpu87;gpu88,FAST;SLOW,False
6924883,tpe,cifar10,1-40,5,submitline,40,39,1,0,5,gpu06;gpu08;gpu10;gpu11;gpu12,SLOW,False
6924884,tpe,cifar10,1-40,5,submitline,40,40,0,0,5,gpu06;gpu07;gpu08;gpu10;gpu11;gpu12,SLOW,False
6925191,cmaes,cifar10,1-40,40,submitline,40,0,40,0,32,gpu08;gpu09;gpu10;gpu11;gpu12;gpu31;gpu35;gpu36;gpu37,FAST;SLOW,False
6925192,random,cifar10,1-40,40,submitline,40,12,28,0,40,gpu37;gpu39;gpu40;gpu41;gpu42;gpu45;gpu46;gpu63;gpu64;gpu66;gpu71,FAST,False
6925193,hyperband,cifar10,1-40,40,submitline,40,31,9,0,40,gpu71;gpu72;gpu73;gpu74;gpu75;gpu76;gpu78;gpu80;gpu81;gpu82;gpu83,FAST,False
6925312,tpe,cifar10,1-40,40,submitline,40,34,6,0,40,gpu08;gpu10;gpu11;gpu12;gpu31;gpu35;gpu36;gpu37;gpu40;gpu42;gpu45;gpu46;gpu63;gpu64,FAST;SLOW,False
6929317,random,cifar10,1-40,40,submitline,40,40,0,0,39,gpu06;gpu07;gpu08;gpu09;gpu12,SLOW,False
6929318,tpe,cifar10,1-40,40,submitline,40,40,0,0,24,gpu10;gpu11;gpu13;gpu42;gpu45;gpu46;gpu63;gpu64;gpu66;gpu71;gpu72,FAST;SLOW,False
6929319,hyperband,cifar100,1-20,20,submitline,20,0,20,0,16,gpu72;gpu73;gpu74;gpu75;gpu76,FAST,True
6929417,cmaes,cifar10,1-20,20,submitline,20,0,20,0,20,gpu72;gpu73;gpu74;gpu75;gpu76;gpu78,FAST,True
